"SIG_CD","SIG_ENG_NM","year","COavg","NO2avg","O3avg","PM10avg","SO2avg","PM25avg","PM10freq","PM10freqUS","PM10xtrm","PM10xtrmUS","PM10hrs","avghrs","tavg","tmin","tmax","ppt","wmax","wavg","huminavg","sunsum"
26410,"Geumjeong-gu",2003,0.642589257812946,0.0243509611309978,0.0220502103613217,51.8939702421261,0.00593894402631905,NA,45,0,0,0,1210,3.31506849315068,14.3386301369863,11.1824657534247,18.5076712328767,2334.7,6.58465753424657,3.18630136986301,65.3024657534247,1845.8
26410,"Geumjeong-gu",2004,0.601231027703859,0.0252642629477518,0.0223608866958959,59.7657289374738,0.00652913174361308,NA,55,2,2,0,1673,4.57103825136612,14.9010928961749,11.4953551912568,19.3210382513661,1389,6.55792349726776,3.09180327868852,59.9625683060109,2409.7
26410,"Geumjeong-gu",2005,0.544773501519919,0.0243209637927147,0.0210801516276081,57.2505193230439,0.00524105915183091,NA,65,1,1,0,1661,4.55068493150685,13.8832876712329,10.5564383561644,18.1898630136986,1409,6.42684931506849,3.04465753424658,59.6397260273973,2416.2
26410,"Geumjeong-gu",2006,0.51390916656177,0.0238957342653622,0.0228570969057824,56.5070614230304,0.00498574357849822,NA,55,5,6,1,1453,3.98082191780822,14.7139726027397,11.4531506849315,18.9216438356164,1535.7,6.53506849315068,3.09232876712329,62.3547945205479,2197.9
26410,"Geumjeong-gu",2007,0.492535037890467,0.0230131447355105,0.0226391203706411,53.6308848948382,0.00479302239560441,NA,43,3,3,1,1153,3.15890410958904,15.3353424657534,12.4142465753425,19.1558904109589,1305.7,6.78219178082192,3.27041095890411,61.5328767123288,2189.2
26410,"Geumjeong-gu",2008,0.475206746523988,0.0238699270116022,0.0255603120599499,50.4394129281966,0.00460619811288427,NA,29,1,1,1,906,2.47540983606557,15.0218579234973,12.0456284153005,18.8546448087432,1176.4,6.59234972677596,3.20874316939891,62.9726775956284,2346
26410,"Geumjeong-gu",2009,0.4752466562004,0.0239194417716317,0.0263350191547019,46.5027960844452,0.00441174217737564,NA,27,1,1,0,732,2.00547945205479,14.8358904109589,10.3693150684932,19.9994520547945,1315.2,6.01945205479452,2.80438356164384,62.7290410958904,2130.3
26410,"Geumjeong-gu",2010,0.465950332536063,0.0235603642560729,0.0244941889207671,47.0222112875839,0.00468866106851282,NA,25,3,3,0,748,2.04931506849315,14.7772602739726,10.3569863013699,19.7556164383562,1468.3,5.68520547945205,2.60109589041096,61.2939726027397,2097.7
26410,"Geumjeong-gu",2011,0.434050574048979,0.0217136840318259,0.0243111319468323,46.2367585285771,0.00513274255343354,NA,25,3,4,1,794,2.17534246575342,14.6838356164384,10.4956164383562,19.5249315068493,1624.6,5.65479452054795,2.71506849315068,57.4293150684932,2106.6
26410,"Geumjeong-gu",2012,0.462501483398947,0.0228872383629001,0.0263714192968454,41.6060391809892,0.00553318839896316,NA,14,0,0,0,491,1.34153005464481,14.3606557377049,10.1535519125683,19.1530054644809,1626.9,5.66693989071038,2.59863387978142,57.170218579235,2196.9
26410,"Geumjeong-gu",2013,0.479168338540692,0.0230052551458675,0.0269522555531452,47.1670849314636,0.00621371081319489,NA,27,0,0,0,730,2,15.1021917808219,10.4805479452055,20.4315068493151,1096.8,5.48712328767123,2.43534246575342,55.62,2631.8
