"SIG_CD","SIG_ENG_NM","year","COavg","NO2avg","O3avg","PM10avg","SO2avg","PM10freq","PM10freqUS","PM10xtrm","PM10xtrmUS","PM10hrs","avghrs","tavg","tmin","tmax","ppt","wmax","wmaxd","wavg","huminavg","sunsum"
30170,"Seo-gu",2013,0.494743340890003,0.0202264015615888,0.0241175734777591,42.7772009890051,0.00366752396090078,27,0,0,0,704,1.92876712328767,13.1454794520548,8.48109589041096,18.3649315068493,1128.4,4,230.575342465753,1.56904109589041,72.9556164383562,2513.1
30170,"Seo-gu",2014,0.513556676617387,0.0195404923380431,0.0252973863529903,42.1490940017205,0.00375065012725267,25,1,1,0,757,2.07397260273973,13.4980821917808,8.82328767123288,18.8860273972603,1124.7,3.97095890410959,213.178082191781,1.53780821917808,72.3534246575342,2378.3
30170,"Seo-gu",2015,0.485749043254147,0.01907906571024,0.024685635491376,44.4300224377107,0.0034167173132142,26,1,1,0,765,2.0958904109589,14.018904109589,9.27369863013699,19.458904109589,829.7,3.93671232876712,213.917808219178,1.52986301369863,69.9578082191781,2417.9
30170,"Seo-gu",2016,0.47387305602686,0.0191330478666976,0.0281081916316098,42.4810732625213,0.00310531004687306,13,1,1,0,545,1.48907103825137,14.0530054644809,9.41010928961749,19.4300546448087,1246.4,3.83497267759563,217.049180327869,1.47868852459016,69.8226775956284,2440.1
30170,"Seo-gu",2017,0.458400629752211,0.0182477441563081,0.0289224855950968,44.6112708756008,0.0029157570557471,13,2,2,0,496,1.35890410958904,13.4602739726027,8.56164383561644,18.9942465753425,1131.7,4.01534246575342,231.123287671233,1.54767123287671,68.0517808219178,2632
30170,"Seo-gu",2018,0.444438077682937,0.0177815916684922,0.0269882851877751,42.3666514390409,0.00267245125060992,21,1,1,0,622,1.7041095890411,13.6035616438356,8.8558904109589,19.052602739726,1581.8,3.93178082191781,217.232876712329,1.54794520547945,68.9701369863014,2542.1
30200,"Yuseong-gu",2001,0.87590078561763,0.025543828492994,0.0209052401180449,56.9608839045744,0.00634708715768952,58,7,9,0,1455,3.98630136986301,13.1068493150685,8.2241095890411,18.8123287671233,841.7,4.94602739726027,232.191780821918,2.08657534246575,65.2290410958904,2233.6
30200,"Yuseong-gu",2002,0.767656890970781,0.0219693339221714,0.018733161569757,58.5952540954709,0.00505054847579648,38,7,8,4,1236,3.38630136986301,13.3857534246575,8.84602739726027,18.4764383561644,1399.7,5.43369863013699,234.958904109589,2.16876712328767,66.6778082191781,2058
30200,"Yuseong-gu",2003,0.722815286029772,0.0188071944959234,0.0191376915008076,48.9204425768088,0.00492480221679104,28,0,0,0,975,2.67123287671233,13.2753424657534,8.95643835616438,18.0164383561644,1751.2,5.29643835616438,227.698630136986,2.14,68.9964383561644,1838.9
30200,"Yuseong-gu",2004,0.654439157771861,0.0201767761122275,0.0209457654073593,51.8013331778744,0.0050267327920105,41,2,2,0,1125,3.07377049180328,13.8814207650273,9.11939890710383,19.2734972677596,1532.4,4.47978142076503,221.72131147541,1.73934426229508,63.3997267759563,2198.3
